loss,params,iteration,train_loss,estimators,train_time
0.23054539400618002,"{'boosting_type': 'goss', 'class_weight': None, 'colsample_bytree': 0.8264702368783851, 'learning_rate': 0.04252157786823954, 'min_child_samples': 140, 'num_leaves': 62, 'reg_alpha': 0.892010258876383, 'reg_lambda': 0.5061481326728351, 'subsample_for_bin': 140000, 'subsample': 1.0}",19,0.1707957603049165,156,3.913540909333733
0.22766850437297526,"{'boosting_type': 'dart', 'class_weight': 'balanced', 'colsample_bytree': 0.7700905127910361, 'learning_rate': 0.06509158656074404, 'min_child_samples': 70, 'num_leaves': 132, 'reg_alpha': 0.16437009751669263, 'reg_lambda': 0.0476296216737323, 'subsample_for_bin': 280000, 'subsample': 0.5946861727332601}",20,0.08072461786360086,143,19.599084999891602
0.23219452189689405,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 0.6624031783299528, 'learning_rate': 0.012683566225480671, 'min_child_samples': 235, 'num_leaves': 57, 'reg_alpha': 0.7264849271850283, 'reg_lambda': 0.5106186765116316, 'subsample_for_bin': 100000, 'subsample': 0.5696106415012647}",21,0.21224286407336235,207,4.412775754431095
0.22315696769402193,"{'boosting_type': 'goss', 'class_weight': 'balanced', 'colsample_bytree': 0.7604390382173666, 'learning_rate': 0.13339096797194014, 'min_child_samples': 400, 'num_leaves': 90, 'reg_alpha': 0.5752861759075332, 'reg_lambda': 0.7077351774567151, 'subsample_for_bin': 100000, 'subsample': 1.0}",22,0.18375372566937787,145,3.1388326637516
0.22779114080252238,"{'boosting_type': 'goss', 'class_weight': 'balanced', 'colsample_bytree': 0.7503367430581006, 'learning_rate': 0.1325330571035478, 'min_child_samples': 290, 'num_leaves': 88, 'reg_alpha': 0.6034645939839058, 'reg_lambda': 0.7158217574989106, 'subsample_for_bin': 100000, 'subsample': 1.0}",23,0.18127204166450583,43,2.4122961815073722
0.227723503229741,"{'boosting_type': 'goss', 'class_weight': 'balanced', 'colsample_bytree': 0.7366490639051748, 'learning_rate': 0.10778571750815616, 'min_child_samples': 430, 'num_leaves': 89, 'reg_alpha': 0.5874008918770866, 'reg_lambda': 0.7246091216759533, 'subsample_for_bin': 140000, 'subsample': 1.0}",24,0.18716486701334445,183,3.2839816954465277
0.22567816453173162,"{'boosting_type': 'goss', 'class_weight': 'balanced', 'colsample_bytree': 0.7020437735918685, 'learning_rate': 0.14490256393938997, 'min_child_samples': 320, 'num_leaves': 118, 'reg_alpha': 0.7402167582637631, 'reg_lambda': 0.8110992017181076, 'subsample_for_bin': 160000, 'subsample': 1.0}",25,0.17667405116952362,95,2.7964050804012004
0.2288497259724085,"{'boosting_type': 'goss', 'class_weight': 'balanced', 'colsample_bytree': 0.7758873158474296, 'learning_rate': 0.09421137513057252, 'min_child_samples': 415, 'num_leaves': 78, 'reg_alpha': 0.32931037334082025, 'reg_lambda': 0.16541353831992872, 'subsample_for_bin': 80000, 'subsample': 1.0}",26,0.18952303865995235,177,3.223173214003509
0.22561533865563665,"{'boosting_type': 'goss', 'class_weight': 'balanced', 'colsample_bytree': 0.7838691627136918, 'learning_rate': 0.17709744691901863, 'min_child_samples': 385, 'num_leaves': 78, 'reg_alpha': 0.6128167653495407, 'reg_lambda': 0.6429910462797532, 'subsample_for_bin': 140000, 'subsample': 1.0}",27,0.1827748778042393,131,2.96478523893893
0.22712578159151353,"{'boosting_type': 'dart', 'class_weight': None, 'colsample_bytree': 0.6030032835056693, 'learning_rate': 0.125216915323338, 'min_child_samples': 465, 'num_leaves': 112, 'reg_alpha': 0.7991300253806752, 'reg_lambda': 0.8043028618506123, 'subsample_for_bin': 180000, 'subsample': 0.5153417210909286}",28,0.21499645381387222,128,7.066173099087791
