loss,train,estimators,train_time,params,iteration
-0.7664761090174892,-0.801769748998775,244.2,7.176018823400909,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 0.8887268761943323, 'learning_rate': 0.014424284713719199, 'min_child_samples': 295, 'num_leaves': 134, 'reg_alpha': 0.8622146384264425, 'reg_lambda': 0.2574419990890452, 'subsample_for_bin': 60000, 'subsample': 0.6997812366439089}",2
-0.7723411737559986,-0.8272273463585744,143.5,7.372754879361423,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 0.6115450946143066, 'learning_rate': 0.021037659013817735, 'min_child_samples': 180, 'num_leaves': 135, 'reg_alpha': 0.12049757813787476, 'reg_lambda': 0.5255485878613477, 'subsample_for_bin': 220000, 'subsample': 0.8360899967707708}",3
-0.7713629532822301,-0.8665667804117441,138.8,15.916769256325438,"{'boosting_type': 'dart', 'class_weight': None, 'colsample_bytree': 0.6301588853138486, 'learning_rate': 0.1014351207471489, 'min_child_samples': 125, 'num_leaves': 136, 'reg_alpha': 0.2737763330143842, 'reg_lambda': 0.5265233493371474, 'subsample_for_bin': 100000, 'subsample': 0.5391468927762012}",4
-0.7517015405939077,-0.9110681121103379,123.4,11.745238398645597,"{'boosting_type': 'gbdt', 'class_weight': 'balanced', 'colsample_bytree': 0.9656976207079053, 'learning_rate': 0.010193071671640058, 'min_child_samples': 60, 'num_leaves': 65, 'reg_alpha': 0.06412795651798098, 'reg_lambda': 0.8105100059152849, 'subsample_for_bin': 180000, 'subsample': 0.981890462115873}",5
-0.7736883332329947,-0.8323182919271215,100.8,13.291439016231493,"{'boosting_type': 'dart', 'class_weight': 'balanced', 'colsample_bytree': 0.6955595016803411, 'learning_rate': 0.027957864054807307, 'min_child_samples': 200, 'num_leaves': 36, 'reg_alpha': 0.7011218199662174, 'reg_lambda': 0.09298667877670175, 'subsample_for_bin': 20000, 'subsample': 0.7228354722968744}",6
-0.7686651036951747,-0.8538177936145168,30.9,7.4621973225805505,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 0.8171140589342372, 'learning_rate': 0.1057853070429377, 'min_child_samples': 45, 'num_leaves': 98, 'reg_alpha': 0.3687429295079996, 'reg_lambda': 0.5343454036268125, 'subsample_for_bin': 60000, 'subsample': 0.7886846033564312}",7
-0.7697274782021422,-0.8219825278168511,86.8,15.543551870165857,"{'boosting_type': 'dart', 'class_weight': None, 'colsample_bytree': 0.6676950403732599, 'learning_rate': 0.04518100688786058, 'min_child_samples': 25, 'num_leaves': 61, 'reg_alpha': 0.8633282722130179, 'reg_lambda': 0.2340220004705157, 'subsample_for_bin': 200000, 'subsample': 0.8670890923629498}",8
-0.7697911070554401,-0.7975923432731901,148.7,13.619974149681525,"{'boosting_type': 'dart', 'class_weight': None, 'colsample_bytree': 0.7869978428617471, 'learning_rate': 0.0714588547602949, 'min_child_samples': 495, 'num_leaves': 99, 'reg_alpha': 0.6084128917904971, 'reg_lambda': 0.011687999021690043, 'subsample_for_bin': 160000, 'subsample': 0.9006362058724013}",9
-0.7728753834052621,-0.8111221952029407,86.9,5.8357662821736085,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 0.7333967381611435, 'learning_rate': 0.02782698047807999, 'min_child_samples': 165, 'num_leaves': 37, 'reg_alpha': 0.4412452188453323, 'reg_lambda': 0.41411174834831244, 'subsample_for_bin': 200000, 'subsample': 0.8093278151486981}",10
-0.76928212513285,-0.8134806041641494,63.8,10.787112046111929,"{'boosting_type': 'dart', 'class_weight': 'balanced', 'colsample_bytree': 0.9388713645887058, 'learning_rate': 0.04205513563014387, 'min_child_samples': 255, 'num_leaves': 149, 'reg_alpha': 0.94751281982827, 'reg_lambda': 0.38395319708943465, 'subsample_for_bin': 60000, 'subsample': 0.7086708338716882}",11
-0.7678633006311465,-0.8233758010822576,98.9,5.019234707693499,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 0.77810006359035, 'learning_rate': 0.050449016620670396, 'min_child_samples': 320, 'num_leaves': 54, 'reg_alpha': 0.6445030750984161, 'reg_lambda': 0.06897625922585993, 'subsample_for_bin': 140000, 'subsample': 0.8438348080186873}",12
-0.7707877869475434,-0.800526109588248,59.9,3.7510643914139337,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 0.8892140512974522, 'learning_rate': 0.08253715258179727, 'min_child_samples': 475, 'num_leaves': 132, 'reg_alpha': 0.32676601036984365, 'reg_lambda': 0.18019542196930383, 'subsample_for_bin': 260000, 'subsample': 0.7045972116142856}",13
-0.780356089139357,-0.8026241183688203,194.5,4.17398504504456,"{'boosting_type': 'goss', 'class_weight': 'balanced', 'colsample_bytree': 0.9485530440194685, 'learning_rate': 0.16955945291147356, 'min_child_samples': 475, 'num_leaves': 141, 'reg_alpha': 0.6126915799785335, 'reg_lambda': 0.7584966385524612, 'subsample_for_bin': 160000, 'subsample': 1.0}",14
-0.7611279033985198,-0.8867406206200448,34.4,5.944754615396846,"{'boosting_type': 'gbdt', 'class_weight': 'balanced', 'colsample_bytree': 0.6699782186942399, 'learning_rate': 0.07381937396996949, 'min_child_samples': 55, 'num_leaves': 141, 'reg_alpha': 0.49347195571472724, 'reg_lambda': 0.604040335225197, 'subsample_for_bin': 40000, 'subsample': 0.5025345927032703}",15
-0.7679265799735977,-0.76483259392138,350.5,5.795698857443199,"{'boosting_type': 'goss', 'class_weight': None, 'colsample_bytree': 0.6026734653871818, 'learning_rate': 0.023147454829851782, 'min_child_samples': 475, 'num_leaves': 134, 'reg_alpha': 0.8162879273259281, 'reg_lambda': 0.9888486383946999, 'subsample_for_bin': 260000, 'subsample': 1.0}",16
-0.7684732989398456,-0.8755773984007422,74.8,4.533825005176936,"{'boosting_type': 'goss', 'class_weight': 'balanced', 'colsample_bytree': 0.7649076671323277, 'learning_rate': 0.05076031322338059, 'min_child_samples': 125, 'num_leaves': 138, 'reg_alpha': 0.7961414355863407, 'reg_lambda': 0.7163994947596422, 'subsample_for_bin': 260000, 'subsample': 1.0}",17
-0.7694714121550452,-0.7784440250531366,47.0,3.181323713798747,"{'boosting_type': 'goss', 'class_weight': None, 'colsample_bytree': 0.628525898055579, 'learning_rate': 0.16785609057309522, 'min_child_samples': 390, 'num_leaves': 45, 'reg_alpha': 0.6252667524217375, 'reg_lambda': 0.6589398436051065, 'subsample_for_bin': 220000, 'subsample': 1.0}",18
