loss,train,estimators,train_time,params,iteration
-0.7643188783026694,-0.8074353754916966,131.2,3.0647008895148247,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 0.8301316743001489, 'learning_rate': 0.01404289320760645, 'min_child_samples': 110, 'num_leaves': 110, 'reg_alpha': 0.3217426106070005, 'reg_lambda': 0.8322266809232236, 'subsample_for_bin': 40000, 'subsample': 0.9890486016046915}",18
-0.7689636347524897,-0.8143000990637212,21.2,1.5498221652824213,"{'boosting_type': 'gbdt', 'class_weight': 'balanced', 'colsample_bytree': 0.7563925301154956, 'learning_rate': 0.12693259390335035, 'min_child_samples': 350, 'num_leaves': 76, 'reg_alpha': 0.15459302728014368, 'reg_lambda': 0.12938158782235498, 'subsample_for_bin': 220000, 'subsample': 0.7553013916591538}",19
-0.7680384545228716,-0.8324268334149021,175.2,2.8773805162327335,"{'boosting_type': 'goss', 'class_weight': 'balanced', 'colsample_bytree': 0.9170168446780558, 'learning_rate': 0.05774521762705701, 'min_child_samples': 280, 'num_leaves': 54, 'reg_alpha': 0.35421468617516805, 'reg_lambda': 0.16988968814021155, 'subsample_for_bin': 280000, 'subsample': 1.0}",20
-0.7679522567015763,-0.8057186066509565,229.2,10.705888911897091,"{'boosting_type': 'dart', 'class_weight': 'balanced', 'colsample_bytree': 0.9508956526531074, 'learning_rate': 0.015468697932437568, 'min_child_samples': 360, 'num_leaves': 36, 'reg_alpha': 0.13102914446555547, 'reg_lambda': 0.6117190568638786, 'subsample_for_bin': 260000, 'subsample': 0.8325032788435129}",21
-0.7591182601432127,-0.9488878849867086,159.2,9.076428537295214,"{'boosting_type': 'dart', 'class_weight': 'balanced', 'colsample_bytree': 0.6016663601169735, 'learning_rate': 0.10674210693253229, 'min_child_samples': 75, 'num_leaves': 40, 'reg_alpha': 0.7827951483693236, 'reg_lambda': 0.4057192862947624, 'subsample_for_bin': 80000, 'subsample': 0.5238183449398237}",22
-0.7664791094493069,-0.9095734045126782,173.4,12.843846782249784,"{'boosting_type': 'dart', 'class_weight': 'balanced', 'colsample_bytree': 0.609436749245612, 'learning_rate': 0.0357993231088416, 'min_child_samples': 120, 'num_leaves': 47, 'reg_alpha': 0.04451986004495789, 'reg_lambda': 0.7054503043828173, 'subsample_for_bin': 20000, 'subsample': 0.9933225027788689}",23
-0.7700716205478433,-0.8317923885880084,77.4,1.5351510855543893,"{'boosting_type': 'goss', 'class_weight': 'balanced', 'colsample_bytree': 0.9994953277479107, 'learning_rate': 0.10186961346872674, 'min_child_samples': 235, 'num_leaves': 33, 'reg_alpha': 0.0060899835774761435, 'reg_lambda': 0.3161463437283956, 'subsample_for_bin': 160000, 'subsample': 1.0}",24
-0.7636056966146634,-0.7927708653537234,35.4,1.2897619313098403,"{'boosting_type': 'goss', 'class_weight': 'balanced', 'colsample_bytree': 0.6557547973844884, 'learning_rate': 0.03133554576319434, 'min_child_samples': 495, 'num_leaves': 54, 'reg_alpha': 0.7757326125558989, 'reg_lambda': 0.7195061063521941, 'subsample_for_bin': 80000, 'subsample': 1.0}",25
-0.7667486793907764,-0.9198461317895305,47.2,6.9091040452558445,"{'boosting_type': 'dart', 'class_weight': 'balanced', 'colsample_bytree': 0.6839066706587945, 'learning_rate': 0.11890351537228427, 'min_child_samples': 110, 'num_leaves': 47, 'reg_alpha': 0.7452108236750138, 'reg_lambda': 0.428968776114364, 'subsample_for_bin': 20000, 'subsample': 0.7940678183875673}",26
-0.7610460600162248,-0.9404556608769348,107.6,14.3486897347384,"{'boosting_type': 'dart', 'class_weight': 'balanced', 'colsample_bytree': 0.7788618460213872, 'learning_rate': 0.02268495943790454, 'min_child_samples': 20, 'num_leaves': 60, 'reg_alpha': 0.9788494155153521, 'reg_lambda': 0.2814697928981016, 'subsample_for_bin': 180000, 'subsample': 0.5042142923656736}",27
