loss,train,estimators,train_time,params,iteration
-0.7681529653657486,-0.7846504111576115,193.5,4.217757075273084,"{'boosting_type': 'goss', 'class_weight': None, 'colsample_bytree': 0.8997989804194125, 'learning_rate': 0.05537668621844676, 'min_child_samples': 400, 'num_leaves': 100, 'reg_alpha': 0.5688650103333671, 'reg_lambda': 0.6176860537182238, 'subsample_for_bin': 40000, 'subsample': 1.0}",2
-0.770287316652125,-0.8274287383860159,88.8,4.61142716058373,"{'boosting_type': 'gbdt', 'class_weight': 'balanced', 'colsample_bytree': 0.9700429132720038, 'learning_rate': 0.050574473995205635, 'min_child_samples': 405, 'num_leaves': 135, 'reg_alpha': 0.9537331173326904, 'reg_lambda': 0.3596728628380874, 'subsample_for_bin': 220000, 'subsample': 0.7554713356554772}",3
-0.7712369219958101,-0.8573198557609114,192.9,6.287781628524613,"{'boosting_type': 'goss', 'class_weight': 'balanced', 'colsample_bytree': 0.8528796741530309, 'learning_rate': 0.01763595040735796, 'min_child_samples': 155, 'num_leaves': 139, 'reg_alpha': 0.8859940954442919, 'reg_lambda': 0.5899642199170524, 'subsample_for_bin': 160000, 'subsample': 1.0}",4
-0.7764622901776256,-0.8471448325303182,77.9,3.7272159935192803,"{'boosting_type': 'goss', 'class_weight': 'balanced', 'colsample_bytree': 0.8117719124148883, 'learning_rate': 0.1116924506887948, 'min_child_samples': 225, 'num_leaves': 120, 'reg_alpha': 0.843785598062342, 'reg_lambda': 0.9661470309896243, 'subsample_for_bin': 240000, 'subsample': 1.0}",5
-0.7710484794418158,-0.8087465754105182,132.9,6.0530574373141235,"{'boosting_type': 'gbdt', 'class_weight': 'balanced', 'colsample_bytree': 0.7547359386775737, 'learning_rate': 0.012656415262006379, 'min_child_samples': 405, 'num_leaves': 141, 'reg_alpha': 0.01551609067661286, 'reg_lambda': 0.11982682188751714, 'subsample_for_bin': 160000, 'subsample': 0.9403755704316392}",6
-0.7667290997927783,-0.7741675966345418,272.9,4.955635756269771,"{'boosting_type': 'goss', 'class_weight': None, 'colsample_bytree': 0.6942907140139049, 'learning_rate': 0.027704073141626734, 'min_child_samples': 435, 'num_leaves': 105, 'reg_alpha': 0.7612224862225371, 'reg_lambda': 0.8547854514327706, 'subsample_for_bin': 60000, 'subsample': 1.0}",7
-0.7609519748748331,-0.7823890199769703,68.1,3.552827606137612,"{'boosting_type': 'goss', 'class_weight': None, 'colsample_bytree': 0.8904230924156264, 'learning_rate': 0.011142791786101697, 'min_child_samples': 355, 'num_leaves': 110, 'reg_alpha': 0.040364144517895495, 'reg_lambda': 0.26283755726314917, 'subsample_for_bin': 40000, 'subsample': 1.0}",8
-0.7721980277945446,-0.8154648569772519,69.2,12.66209128166156,"{'boosting_type': 'dart', 'class_weight': None, 'colsample_bytree': 0.6539911248739009, 'learning_rate': 0.11573888905744444, 'min_child_samples': 200, 'num_leaves': 68, 'reg_alpha': 0.6949017188554039, 'reg_lambda': 0.896187891478465, 'subsample_for_bin': 280000, 'subsample': 0.9964014557539517}",9
-0.7661741688605497,-0.7834870835474221,121.9,15.809255483521497,"{'boosting_type': 'dart', 'class_weight': None, 'colsample_bytree': 0.9088321708007734, 'learning_rate': 0.03202261641889638, 'min_child_samples': 355, 'num_leaves': 103, 'reg_alpha': 0.16466326549909616, 'reg_lambda': 0.35817629896437797, 'subsample_for_bin': 240000, 'subsample': 0.7889540440351535}",10
-0.7739859131194937,-0.8279738920379998,67.1,3.6961569269068377,"{'boosting_type': 'gbdt', 'class_weight': 'balanced', 'colsample_bytree': 0.9207630774370004, 'learning_rate': 0.11948193352309823, 'min_child_samples': 410, 'num_leaves': 86, 'reg_alpha': 0.0317073368652977, 'reg_lambda': 0.30743597098231346, 'subsample_for_bin': 280000, 'subsample': 0.5703904445267802}",11
-0.7686986942839995,-0.794995578112349,67.2,5.881016286155727,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 0.8849803345753964, 'learning_rate': 0.039375658035139885, 'min_child_samples': 420, 'num_leaves': 42, 'reg_alpha': 0.21251261037820868, 'reg_lambda': 0.09733377769099194, 'subsample_for_bin': 60000, 'subsample': 0.9065230482007856}",12
