loss,params,iteration,estimators,train_time
0.24854045239708134,"{'boosting_type': 'goss', 'class_weight': None, 'colsample_bytree': 0.853102917239426, 'learning_rate': 0.011767912024933956, 'min_child_samples': 110, 'num_leaves': 114, 'reg_alpha': 0.3369787449812449, 'reg_lambda': 0.5773835691302064, 'subsample_for_bin': 40000, 'subsample': 1.0, 'metric': 'auc', 'verbose': 1}",17,74,2.578462226378633
0.2378045342424724,"{'boosting_type': 'gbdt', 'class_weight': 'balanced', 'colsample_bytree': 0.7706879189819607, 'learning_rate': 0.03598378193909862, 'min_child_samples': 135, 'num_leaves': 67, 'reg_alpha': 0.9645612747608906, 'reg_lambda': 0.9616204046171472, 'subsample_for_bin': 60000, 'subsample': 0.5253657477796922, 'metric': 'auc', 'verbose': 1}",18,40,2.573173270892312
0.2394445429061015,"{'boosting_type': 'dart', 'class_weight': 'balanced', 'colsample_bytree': 0.8464791720356762, 'learning_rate': 0.10875645732896141, 'min_child_samples': 380, 'num_leaves': 112, 'reg_alpha': 0.002436386070584051, 'reg_lambda': 0.09460288039448272, 'subsample_for_bin': 180000, 'subsample': 0.7153773885862027, 'metric': 'auc', 'verbose': 1}",19,22,2.2318066644138526
0.25095685555344116,"{'boosting_type': 'goss', 'class_weight': None, 'colsample_bytree': 0.6048404419661536, 'learning_rate': 0.06644368221542607, 'min_child_samples': 85, 'num_leaves': 66, 'reg_alpha': 0.776616518870496, 'reg_lambda': 0.5854944753883532, 'subsample_for_bin': 300000, 'subsample': 1.0, 'metric': 'auc', 'verbose': 1}",20,14,1.2247769104128565
0.23780936029651456,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 0.98063536544944, 'learning_rate': 0.026978814186666762, 'min_child_samples': 330, 'num_leaves': 84, 'reg_alpha': 0.5908793087814889, 'reg_lambda': 0.8622306559237783, 'subsample_for_bin': 80000, 'subsample': 0.932285013180736, 'metric': 'auc', 'verbose': 1}",21,147,2.8924476651113764
0.23701427469131475,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 0.6462737017535378, 'learning_rate': 0.012324921239448035, 'min_child_samples': 310, 'num_leaves': 33, 'reg_alpha': 0.08059600901783015, 'reg_lambda': 0.29125095623622194, 'subsample_for_bin': 260000, 'subsample': 0.8643530487801971, 'metric': 'auc', 'verbose': 1}",22,151,2.8754049063213643
0.23420508203815282,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 0.7060372959647947, 'learning_rate': 0.02561408416317966, 'min_child_samples': 285, 'num_leaves': 84, 'reg_alpha': 0.41588642148824095, 'reg_lambda': 0.19403399697022816, 'subsample_for_bin': 20000, 'subsample': 0.7631347273529762, 'metric': 'auc', 'verbose': 1}",23,109,2.5787512216879804
0.2323874193587816,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 0.6281704201727462, 'learning_rate': 0.010242774499691548, 'min_child_samples': 245, 'num_leaves': 47, 'reg_alpha': 0.24862621587556788, 'reg_lambda': 0.8833655063071846, 'subsample_for_bin': 280000, 'subsample': 0.7950270278686, 'metric': 'auc', 'verbose': 1}",24,292,5.316210930167017
0.23621456179317157,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 0.6382207519050704, 'learning_rate': 0.013922290836745834, 'min_child_samples': 355, 'num_leaves': 51, 'reg_alpha': 0.08331100679392561, 'reg_lambda': 0.9050619888343019, 'subsample_for_bin': 80000, 'subsample': 0.8710677230120218, 'metric': 'auc', 'verbose': 1}",25,282,4.303175421290234
0.23144098404517455,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 0.7025783014920511, 'learning_rate': 0.014026637137003419, 'min_child_samples': 265, 'num_leaves': 36, 'reg_alpha': 0.23915446735899976, 'reg_lambda': 0.8217477910039765, 'subsample_for_bin': 20000, 'subsample': 0.9853012663786448, 'metric': 'auc', 'verbose': 1}",26,209,4.5999866880115405
